exam_id,elapsed_s,status,input_tok,output_tok,cost_usd
康軒_?_未知_期末考,1,dry_run,0,0,0.0000
南一_?_未知_期末考,1,dry_run,0,0,0.0000
康軒_113_2四年級自然期中卷_期中考,1,dry_run,0,0,0.0000
南一_112_2_期末考,1,dry_run,0,0,0.0000
翰林_112_太平國小_第二次段考,1,dry_run,0,0,0.0000
exam_id,elapsed_s,status,input_tok,output_tok,cost_usd
翰林_112_太平國小_第二次段考,1,dry_run,0,0,0.0000
康軒_?_未知_期末考,1,dry_run,0,0,0.0000
翰林_108_寶山國小_第二次段考,1,dry_run,0,0,0.0000
康軒_113_2四年級自然期中卷_期中考,1,dry_run,0,0,0.0000
南一_?_未知_期末考,1,dry_run,0,0,0.0000
南一_112_2_期末考,1,dry_run,0,0,0.0000
翰林_112_2_期末考,1,dry_run,0,0,0.0000
康軒_113_未知國小_期中考,1,dry_run,0,0,0.0000
南一_112_成功國小_第一次段考,1,dry_run,0,0,0.0000
翰林_108_湳雅國小_第一次段考,1,dry_run,0,0,0.0000
南一_108_中山國小_第一次段考,1,dry_run,0,0,0.0000
康軒_113_未知國小_期末考,1,dry_run,0,0,0.0000
翰林_108_田心國小_第一次段考,1,dry_run,0,0,0.0000
康軒_113_2四年級自然期中考卷解答_期中考,1,dry_run,0,0,0.0000
南一_113_02第二次評量四年級自然科評量試卷_未知,1,dry_run,0,0,0.0000
翰林_111_僑信國小_第二次段考,1,dry_run,0,0,0.0000
康軒_108_國姓國小_第一次段考,1,dry_run,0,0,0.0000
南一_113_未知國小_期末考,1,dry_run,0,0,0.0000
翰林_112_四維國小_第二次段考,1,dry_run,0,0,0.0000
康軒_111_內安國小_第二次段考,1,dry_run,0,0,0.0000
南一_111_舊館國小_第三次段考,1,dry_run,0,0,0.0000
翰林_112_臺南市和順國小_期中考,1,dry_run,0,0,0.0000
南一_108_東芳國小_第二次段考,1,dry_run,0,0,0.0000
康軒_108_伸東國小_第二次段考,1,dry_run,0,0,0.0000
翰林_112_太平國小_第一次段考,1,dry_run,0,0,0.0000
康軒_108_興南國小_第二次段考,1,dry_run,0,0,0.0000
南一_111_舊館國小_第一次段考,1,dry_run,0,0,0.0000
康軒_108_安慶國小_第三次段考,1,dry_run,0,0,0.0000
翰林_111_勝利國小_期末考,1,dry_run,0,0,0.0000
南一_113_02第一次評量四年級自然科評量答案卷_未知,1,dry_run,0,0,0.0000
翰林_112_四維國小_第一次段考,1,dry_run,0,0,0.0000
康軒_110_新生國小_第一次段考,1,dry_run,0,0,0.0000
康軒_108_文祥國小_第二次段考,1,dry_run,0,0,0.0000
南一_108_新生國小_第一次段考,1,dry_run,0,0,0.0000
南一_108_社頭國小_第一次段考,1,dry_run,0,0,0.0000
南一_113_02第一次評量四年級自然科評量試卷_未知,1,dry_run,0,0,0.0000
康軒_108_伸東國小_第一次段考,1,dry_run,0,0,0.0000
康軒_109_大園國小_第二次段考,1,dry_run,0,0,0.0000
南一_112_文德國小_第一次段考,1,dry_run,0,0,0.0000
康軒_108_安慶國小_第二次段考,1,dry_run,0,0,0.0000
南一_108_成功國小_第一次段考,1,dry_run,0,0,0.0000
康軒_108_海佃國小_第二次段考,1,dry_run,0,0,0.0000
南一_111_成功國小_第二次段考,1,dry_run,0,0,0.0000
康軒_109_伸東國小_第一次段考,1,dry_run,0,0,0.0000
南一_111_成功國小_第一次段考,1,dry_run,0,0,0.0000
南一_113_未知國小_期中考,1,dry_run,0,0,0.0000
康軒_108_內安國小_第二次段考,1,dry_run,0,0,0.0000
康軒_108_文祥國小_第一次段考,1,dry_run,0,0,0.0000
南一_108_成功國小_第二次段考,1,dry_run,0,0,0.0000
康軒_109_四維國小_第一次段考,1,dry_run,0,0,0.0000
康軒_109_大園國小_第一次段考,1,dry_run,0,0,0.0000
南一_108_成德國小_第二次段考,1,dry_run,0,0,0.0000
南一_108_田中國小_第二次段考,1,dry_run,0,0,0.0000
康軒_109_海佃國小_第一次段考,1,dry_run,0,0,0.0000
南一_108_舊館國小_第三次段考,1,dry_run,0,0,0.0000
南一_111_田中國小_第二次段考,1,dry_run,0,0,0.0000
康軒_109_鹿東國小_第一次段考,1,dry_run,0,0,0.0000
康軒_112_4下_期末考,1,dry_run,0,0,0.0000
南一_108_成德國小_第一次段考,1,dry_run,0,0,0.0000
康軒_112_勝利國小_期中考,1,dry_run,0,0,0.0000
康軒_108_大園國小_第一次段考,1,dry_run,0,0,0.0000
南一_109_成功國小_第一次段考,1,dry_run,0,0,0.0000
南一_111_成功國小_第三次段考,1,dry_run,0,0,0.0000
康軒_108_曉陽國小_第二次段考,1,dry_run,0,0,0.0000
南一_111_田中國小_第一次段考,1,dry_run,0,0,0.0000
南一_109_中正國小_第一次段考,1,dry_run,0,0,0.0000
康軒_108_安和國小_第一次段考,1,dry_run,0,0,0.0000
南一_111_中正國小_第二次段考,1,dry_run,0,0,0.0000
康軒_112_安和國小_期中考,1,dry_run,0,0,0.0000
